,id,AreaHa,PrimaryUse,geometry,lon,lat,nodes
0,0,0.1007,Canal,POINT (536358.1774964135 181197.63192532538),-0.03631238564356539,51.513257304940886,263060306
1,1,0.9932,Canal,POINT (534424.9918756906 180348.5653851055),-0.06447830688328342,51.50609016916507,278787040
2,2,0.9932,Canal,POINT (534683.5973974898 180517.68261165055),-0.06068980513460138,51.50754838483266,249315586
3,3,0.9932,Canal,POINT (534600.8540096638 180480.79320236185),-0.06189542912832645,51.50723658582203,278313518
4,4,0.9932,Canal,POINT (534682.3096481765 180361.7032170035),-0.06076789934104094,51.5061469997132,249309903
5,5,0.9932,Canal,POINT (534734.316289466 180521.42498106393),-0.05995799760610377,51.50756993139137,249310858
6,6,0.9932,Canal,POINT (534939.4850081301 180522.77448453827),-0.05700294927846979,51.507533130495766,249156360
7,7,2.43,Canal,POINT (533897.4057585876 177721.6512058035),-0.0730718130003584,51.48260853273791,102990235
8,8,2.43,Canal,POINT (533928.8777701268 177552.1717601974),-0.07268306108454331,51.48107803825396,610858007
9,9,2.43,Canal,POINT (534021.300729495 177261.08728985264),-0.07146325214019005,51.47844029350934,416029258
10,10,2.43,Canal,POINT (534045.381001382 177176.2115011036),-0.07114888633164314,51.477671844424705,11917024263
11,11,2.43,Canal,POINT (534021.5106741629 177186.15280458046),-0.07148863509418966,51.47776683633383,105657598
12,12,2.43,Canal,POINT (534094.6404129122 177088.13087956203),-0.07047340071955584,51.476868628631664,102722048
13,13,2.43,Canal,POINT (533895.6562600045 177596.54687637577),-0.07314437972865603,51.48148468199331,610858007
14,14,2.43,Canal,POINT (533907.4651268666 177734.93243511755),-0.07292200164885626,51.48272550567317,102990235
15,15,0.3625,Canal,POINT (534625.8287361392 183494.53382295667),-0.060384781116345924,51.534313005471866,26626030
16,16,0.3625,Canal,POINT (534727.9466174267 183473.1096311418),-0.05892155662014519,51.53409611782885,659504395
17,17,0.3625,Canal,POINT (534647.7248455731 183482.15587123221),-0.06007400945252053,51.534196551799866,26626030
18,18,0.3625,Canal,POINT (534497.5688860156 183620.0070043921),-0.06218498931293128,51.53547110888558,107359
19,19,0.3625,Canal,POINT (534792.2675975909 183488.37899688396),-0.05798892192709261,51.534217974969344,8940254472
20,20,0.9107,Canal,POINT (534051.2236585938 183628.50042371257),-0.0686133260386391,51.535653612653036,659504045
21,21,0.9107,Canal,POINT (534375.8056913613 183624.85402622938),-0.06393767176298878,51.53554366535814,900771050
22,22,0.9107,Canal,POINT (533979.859377662 183651.63192300114),-0.06963285457955411,51.53587843001882,198277
23,23,0.9107,Canal,POINT (534148.2982793397 183640.32160120003),-0.0672100318853644,51.535736774402686,330198311
24,24,0.9107,Canal,POINT (534431.5932610767 183629.02544528962),-0.06313221561379671,51.53556786695152,5169470768
25,25,6.9299,Canal,POINT (534880.6247664373 183538.77012615063),-0.05669650479500591,51.53464969330905,484928432
26,26,6.9299,Canal,POINT (535031.0396219464 183600.21208209312),-0.054505630323623766,51.53516586095315,486350214
27,27,6.9299,Canal,POINT (534493.0803950253 183622.1453850571),-0.062248849449097844,51.53549139428032,107359
28,28,6.9299,Canal,POINT (534546.5549196862 183587.4914025755),-0.061491546863379244,51.53516724284831,107356
29,29,6.9299,Canal,POINT (534670.957033765 183476.47725930787),-0.059741427946394504,51.534139980120436,26626030
30,30,6.9299,Canal,POINT (535345.8724305672 183468.9674295178),-0.05001955077818818,51.533911113299666,198347
31,31,6.9299,Canal,POINT (535655.8909977168 183304.5846060233),-0.045615884876439354,51.532359670680606,443191002
32,32,6.9299,Canal,POINT (534561.5305335164 183565.61392967255),-0.06128411307333642,51.53496707764067,107356
33,33,6.9299,Canal,POINT (535954.7851719451 182999.91527446194),-0.041426927391838494,51.52955010007764,96098252
34,34,6.9299,Canal,POINT (536116.0602111073 182671.8345815931),-0.03923011766851362,51.52656313143774,12442333
35,35,6.9299,Canal,POINT (535215.1053980262 183559.98854564998),-0.051868823853573436,51.5347603399009,484919677
36,36,6.9299,Canal,POINT (535526.8351829653 183398.70582238337),-0.047439140295181086,51.53323639681747,59765253
37,37,6.9299,Canal,POINT (535861.582577055 183147.0008656294),-0.04271301025951091,51.53089422769878,659850146
38,38,6.9299,Canal,POINT (536526.0274203626 181499.50252785347),-0.03377811156087203,51.51592951729416,48961198
39,39,6.9299,Canal,POINT (536443.9947381788 181335.6624760895),-0.03502302639892472,51.51447699296699,9464628946
40,40,6.9299,Canal,POINT (536316.385879493 182122.9117568744),-0.03655649095018991,51.521582169122546,108705
41,41,6.9299,Canal,POINT (536338.120808437 182134.92253966889),-0.036238758920930675,51.52168486093534,108705
42,42,6.9299,Canal,POINT (536308.0602339752 182375.91635962678),-0.03657856428106499,51.52385772003166,160582482
43,43,6.9299,Canal,POINT (536450.896950027 181403.00986721556),-0.03489755449815884,51.51508053257367,27079842
44,44,6.9299,Canal,POINT (536363.439674634 181227.03386180277),-0.036225229098169,51.51352025119782,5286309250
45,45,6.9299,Canal,POINT (536023.7244149658 182827.28704503027),-0.040500337110644,51.5279822635802,484870038
46,46,6.9299,Canal,POINT (535854.3650757157 183145.2649334697),-0.042817667342160734,51.53088036219849,281578768
47,47,6.9299,Canal,POINT (534846.8263863192 183515.2388585355),-0.05719251114229372,51.534446311801624,236602
48,48,6.9299,Canal,POINT (536203.3102375201 182507.20242316593),-0.03803679272717361,51.52506271676561,12949718776
49,49,6.9299,Canal,POINT (536311.3430887936 182198.66414832347),-0.03659983266646878,51.52226410907509,4115212222
50,50,6.9299,Canal,POINT (536303.8634152686 182286.3179714457),-0.036673676020795735,51.523053584612015,8926850044
51,51,6.9299,Canal,POINT (536279.1405823155 182398.4238353133),-0.03698646103032001,51.52406694562424,11239926187
52,52,6.9299,Canal,POINT (536460.0611382173 181713.4475462549),-0.03464540793921074,51.51786800247468,48979746
53,53,6.9299,Canal,POINT (536336.6146512295 181841.22794935905),-0.036374056329613574,51.51904603149485,3933557515
54,54,6.9299,Canal,POINT (536502.3371298144 181627.80584785622),-0.034069644626675534,51.517088209182795,48979746
55,55,6.9299,Canal,POINT (536395.2387665699 181246.65292593953),-0.035759663988555485,51.51368888599179,5998125928
56,56,0.4004,Canal,POINT (535072.0596456509 183598.33016068884),-0.05391528598028214,51.535139135086304,618807690
57,57,0.4004,Canal,POINT (535147.9735134477 183588.90451695892),-0.052825043645243076,51.535036262996094,484919677
58,58,0.4004,Canal,POINT (534959.3478111746 183579.52452907464),-0.05554657436679558,51.53499710402034,24974328
59,59,0.4004,Canal,POINT (534865.7850934363 183527.60645867317),-0.05691460250092518,51.53455292011249,236602
60,60,1.3483,Canal,POINT (530606.0837360853 183461.69150023375),-0.11831899463122601,51.5349621247891,156666488
61,61,1.3483,Canal,POINT (530455.8813278879 183462.72314316433),-0.12048297091396251,51.53500608454556,156665908
62,62,0.4486,Canal,POINT (528315.6219762423 183644.71225652055),-0.15125745314756497,51.537131573612015,101839
63,63,0.3759,Canal,POINT (547085.9866341691 180450.7411157486),0.11786613035835113,51.50385686558202,94956807
64,64,3.7505,Canal,POINT (538067.0630211951 182071.6161167148),-0.011358906999459774,51.52069657922449,551375633
65,65,3.7505,Canal,POINT (536789.3562700368 181181.71257417512),-0.030108702399843677,51.513010128355155,5825641063
66,66,3.7505,Canal,POINT (536598.038003442 180920.2670365896),-0.03296533548866618,51.510706931650745,18037496
67,67,3.7505,Canal,POINT (538064.7366308504 182088.04465645898),-0.011385982749146664,51.52084477707425,551375633
68,68,3.7505,Canal,POINT (537818.7366312156 181921.96697376802),-0.014994344983174729,51.51941238473616,1014955028
69,69,3.7505,Canal,POINT (537732.6563710646 181860.23041834534),-0.016258346114801186,51.518878582941035,2058935522
70,70,3.7505,Canal,POINT (537538.9517095626 181724.76739779022),-0.01910125210397159,51.517708431786815,648232725
71,71,3.7505,Canal,POINT (537399.2679257084 181624.90528208407),-0.021152091398017613,51.516844990573695,255880402
72,72,3.7505,Canal,POINT (537037.1837663891 181377.847998259),-0.02646327648351954,51.51471267941351,11260309119
73,73,3.7505,Canal,POINT (537845.4104789008 181913.9061963788),-0.014613292567075529,51.51933344723089,1014955028
74,74,3.7505,Canal,POINT (537754.0343092631 181848.7237240388),-0.0159549223527759,51.51876997406659,248948317
75,75,3.7505,Canal,POINT (537621.1356933768 181757.92167387647),-0.017904586755879272,51.51798637141616,274343526
76,76,3.7505,Canal,POINT (536745.8743009476 181152.9003970476),-0.03074610155235539,51.51276172702925,26611163
77,77,3.7505,Canal,POINT (536615.1080159226 180947.03105159802),-0.03270913830612828,51.510943318652586,18037496
78,78,3.7505,Canal,POINT (536669.7034811898 181093.8146891209),-0.03186600558897478,51.512249174622475,26611102
79,79,3.7505,Canal,POINT (537288.6311923099 181528.27644624122),-0.02278323773110775,51.51600351010108,648205038
80,80,3.7505,Canal,POINT (536970.1279356574 181306.89591602964),-0.027456610448014642,51.51409132093981,270491223
81,81,3.7505,Canal,POINT (536903.7069503242 181258.89736674988),-0.028431861583459093,51.5136760701096,270491223
82,82,0.1182,Canal,POINT (535595.0158439743 178173.92227795767),-0.048465406105540496,51.486268569246306,99316108
83,83,0.2297,Canal,POINT (536926.0213895515 185168.5803180359),-0.0265911853936816,51.548803786092456,2410487948
84,84,0.4036,Canal,POINT (532736.4108397233 183722.1951206712),-0.08752398372802259,51.53680646636071,35340342
85,85,0.7922,Canal,POINT (532522.2006407662 183543.38236324882),-0.09067803401270487,51.53524990195812,4654873352
86,86,0.3687,Canal,POINT (537354.2586500293 198577.6592043086),-0.01517161357942544,51.669193075028254,26082927
87,87,0.2276,Canal,POINT (535558.923927386 178079.34119073694),-0.04902120549018042,51.48542726628542,101337884
88,88,0.2276,Canal,POINT (535671.5637975571 177715.72356316866),-0.04753959587718052,51.48213261683638,104293313
89,89,3.47,Canal,POINT (536317.6811132655 180829.96419834328),-0.03703773848070183,51.50996308921674,259075612
90,90,3.47,Canal,POINT (536336.2595459088 180908.60764207345),-0.03673978826502262,51.51066532565954,259075612
91,91,3.47,Canal,POINT (536216.3699375403 181010.7200574599),-0.03842691390091494,51.51161182985733,2055932465
92,92,3.47,Canal,POINT (536349.4638312581 181091.57881263027),-0.03647888724872414,51.51230637914444,10846490652
93,93,3.47,Canal,POINT (536346.7730659855 181019.18867612875),-0.03654562764536639,51.51165650722839,139017
94,94,3.47,Canal,POINT (536361.1554706881 181019.0031731153),-0.03633856977719167,51.51165137254951,139017
95,95,3.47,Canal,POINT (536411.5475620735 181010.00518277872),-0.03561632405246975,51.511558361002166,26611019
96,96,3.47,Canal,POINT (536484.0153928591 180942.39647322948),-0.03459884037214873,51.510933323145366,18037496
97,97,3.47,Canal,POINT (536331.0294427625 180815.50971013616),-0.03685109558623424,51.509829978877626,259075612
98,98,0.4133,Canal,POINT (546618.8906009388 180100.8762068206),0.11099562768033962,51.50083446355421,8879915873
99,99,1.2816,Canal,POINT (546416.3386840809 180195.69945333572),0.10811881742238774,51.50173895921899,726675134
100,100,3.0924,Canal,POINT (545097.2241543301 179865.75075648355),0.0889913806931241,51.49911412920799,92706621
101,101,3.0924,Canal,POINT (545575.0707014885 180202.06706762445),0.09600940782427568,51.50201332625793,370390347
102,102,3.0924,Canal,POINT (545595.8594259819 180404.5675492732),0.0963921788363666,51.50382758849678,7837217663
103,103,0.6694,Canal,POINT (546559.4868042917 180624.80868164002),0.11035788744305516,51.50555763347336,94955165
104,104,0.6694,Canal,POINT (546616.2092313268 180470.7421225437),0.11111061859811744,51.504158570366386,94956515
105,105,0.6694,Canal,POINT (546423.8747814245 180644.4425040379),0.10841341353739224,51.505769191396574,6023458713
